Position;Track Name;Artist;Streams;Date;Genre
10;LA NOCHE DE ANOCHE;Bad Bunny;2363945;02.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2344774;02.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2263913;02.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2225413;02.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2151574;02.01.21;['uk pop', 'pop', 'dance pop']
15;What You Know Bout Love;Pop Smoke;2081783;02.01.21;['brooklyn drill']
16;Watermelon Sugar;Harry Styles;2001470;02.01.21;['pop', 'post-teen pop']
17;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1992073;02.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
18;Afterglow;Ed Sheeran;1963398;02.01.21;['uk pop', 'pop']
19;HOLIDAY;Lil Nas X;1930371;02.01.21;['lgbtq+ hip hop', 'pop rap']
20;Hawái;Maluma;1878699;02.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
21;Head & Heart (feat. MNEK);Joel Corry;1838363;02.01.21;['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
22;willow;Taylor Swift;1826995;02.01.21;['pop', 'post-teen pop']
23;you broke me first;Tate McRae;1814094;02.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
24;WAP (feat. Megan Thee Stallion);Cardi B;1794251;02.01.21;['pop rap', 'pop', 'rap', 'dance pop']
25;Lonely (with benny blanco);Justin Bieber;1781756;02.01.21;['canadian pop', 'post-teen pop', 'pop']
26;Dance Monkey;Tones And I;1737044;02.01.21;['australian pop', 'pop']
27;ROCKSTAR (feat. Roddy Ricch);DaBaby;1730075;02.01.21;['north carolina hip hop', 'rap']
28;Roses - Imanbek Remix;SAINt JHN;1715210;02.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
29;Snowman;Sia;1684531;02.01.21;['pop', 'australian dance', 'australian pop', 'dance pop']
30;Hecha Pa' Mi;Boza;1665465;02.01.21;['reggaeton']
31;Prisoner (feat. Dua Lipa);Miley Cyrus;1655947;02.01.21;['pop', 'post-teen pop', 'dance pop']
32;Someone You Loved;Lewis Capaldi;1632268;02.01.21;['uk pop', 'pop']
33;The Business;Tiësto;1618455;02.01.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
34;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;1595010;02.01.21;['brooklyn drill']
35;Reloj;Rauw Alejandro;1580641;02.01.21;['puerto rican pop', 'trap latino']
36;La Nota;Manuel Turizo;1538180;02.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']
37;Bandido;Myke Towers;1478693;02.01.21;['trap latino']
38;Don't Start Now;Dua Lipa;1473831;02.01.21;['uk pop', 'pop', 'dance pop']
39;Chica Ideal;Sebastian Yatra;1453633;02.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']
40;Good Days;SZA;1409828;02.01.21;['pop', 'r&b', 'pop rap']
41;Goosebumps;HVME;1376696;02.01.21;['slap house']
42;Relación - Remix;Sech;1360372;02.01.21;['panamanian pop', 'trap latino', 'reggaeton', 'latin']
43;BEBÉ;Camilo;1358188;02.01.21;['reggaeton colombiano', 'colombian pop']
44;Vida de Rico;Camilo;1354022;02.01.21;['reggaeton colombiano', 'colombian pop']
45;La Tóxica;Farruko;1319550;02.01.21;['reggaeton', 'latin', 'latin hip hop', 'trap latino']
46;Sweater Weather;The Neighbourhood;1319109;02.01.21;['shimmer pop', 'modern rock', 'pop', 'modern alternative rock']
47;Heather;Conan Gray;1316198;02.01.21;['bedroom pop', 'pop', 'alt z', 'post-teen pop', 'indie pop', 'electropop']
48;Savage Love (Laxed - Siren Beat);Jawsh 685;1306226;02.01.21;['nz pop']
49;Paradise (feat. Dermot Kennedy);MEDUZA;1297278;02.01.21;['pop house', 'pop dance', 'tropical house', 'edm', 'dance pop']
50;Before You Go;Lewis Capaldi;1290824;02.01.21;['uk pop', 'pop']
51;Laugh Now Cry Later (feat. Lil Durk);Drake;1270445;02.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
52;Holy (feat. Chance The Rapper);Justin Bieber;1261798;02.01.21;['canadian pop', 'post-teen pop', 'pop']
53;TE MUDASTE;Bad Bunny;1248456;02.01.21;['trap latino', 'reggaeton', 'latin']
54;Circles;Post Malone;1210798;02.01.21;['dfw rap', 'melodic rap', 'rap']
55;Wonder;Shawn Mendes;1195209;02.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
56;Put Your Records On;Ritt Momney;1186145;02.01.21;['bedroom pop']
57;Take You Dancing;Jason Derulo;1182778;02.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
58;death bed (coffee for your head);Powfu;1151059;02.01.21;['sad rap']
59;Breaking Me;Topic;1146722;02.01.21;['german dance', 'pop dance', 'tropical house', 'edm', 'dance pop', 'pop edm']
60;Life Goes On;BTS;1143038;02.01.21;['k-pop boy group', 'k-pop']
61;Mi Niña;Wisin;1142017;02.01.21;['latin', 'reggaeton', 'latin hip hop', 'trap latino']
62;Una Locura;Ozuna;1141138;02.01.21;['puerto rican pop', 'trap latino', 'reggaeton', 'latin']
63;The Box;Roddy Ricch;1122642;02.01.21;['melodic rap', 'rap', 'trap']
64;Blueberry Faygo;Lil Mosey;1114925;02.01.21;['melodic rap', 'rap conscient', 'vapor trap', 'trap', 'rap']
65;GIRL LIKE ME;Black Eyed Peas;1097217;02.01.21;['dance pop', 'pop rap', 'pop']
66;Se Te Nota (with Guaynaa);Lele Pons;1091489;02.01.21;['viral pop', 'latin pop']
67;SO DONE;The Kid LAROI;1086650;02.01.21;['australian hip hop']
68;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;1082081;02.01.21;['dfw rap', 'melodic rap', 'rap']
69;La Curiosidad;Jay Wheeler;1080730;02.01.21;['trap latino', 'reggaeton', 'latin']
70;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;1075600;02.01.21;['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']
71;Golden;Harry Styles;1069974;02.01.21;['pop', 'post-teen pop']
